Algorithm,DataType,InputSize,ExecutionTime(ns),MemoryUsage(bytes),Comparisons,Swaps,Timestamp
Heap Sort,NearlySorted,400,258500,48,5916,3310,1756229407128
Heap Sort,NearlySorted,600,391100,48,9597,5326,1756229422160
Heap Sort,NearlySorted,800,562450,48,13502,7462,1756229437730
Heap Sort,NearlySorted,1000,703550,48,17405,9602,1756229454151
Heap Sort,WithDuplicates,100,73100,48,1029,567,1756229469697
Heap Sort,WithDuplicates,200,130000,48,2405,1296,1756229485330
Heap Sort,WithDuplicates,400,262700,48,5666,3069,1756229501084
Heap Sort,WithDuplicates,600,401950,48,9237,4974,1756229516969
Heap Sort,WithDuplicates,800,542100,48,13004,6975,1756229533105
Heap Sort,WithDuplicates,1000,717050,48,16790,8979,1756229549519
